name,year,pop
Ageo,1995,206090.0
Ageo,2000,212947.0
Ageo,2005,220232.0
Ageo,2010,223926.0
Ageo,2015,225196.0
Akashi,1995,287606.0
Akashi,2000,293117.0
Akashi,2005,291027.0
Akashi,2010,290959.0
Akashi,2015,293409.0
Akita,1995,331597.0
Akita,2000,336646.0
Akita,2005,333109.0
Akita,2010,323600.0
Akita,2015,315814.0
Amagasaki,1995,488586.0
Amagasaki,2000,466187.0
Amagasaki,2005,462647.0
Amagasaki,2010,453748.0
Amagasaki,2015,452563.0
Anj?,1995,149464.0
Anj?,2000,158824.0
Anj?,2005,170250.0
Anj?,2010,178691.0
Anj?,2015,184140.0
Aomori,1995,314917.0
Aomori,2000,318732.0
Aomori,2005,311386.0
Aomori,2010,299520.0
Aomori,2015,287648.0
Asahikawa,1995,360568.0
Asahikawa,2000,359536.0
Asahikawa,2005,355004.0
Asahikawa,2010,347095.0
Asahikawa,2015,339605.0
Atsugi,1995,208627.0
Atsugi,2000,217369.0
Atsugi,2005,222403.0
Atsugi,2010,224420.0
Atsugi,2015,225714.0
Chiba,1995,856878.0
Chiba,2000,887164.0
Chiba,2005,924319.0
Chiba,2010,961749.0
Chiba,2015,971882.0
Chigasaki,1995,212874.0
Chigasaki,2000,220809.0
Chigasaki,2005,228420.0
Chigasaki,2010,235081.0
Chigasaki,2015,239348.0
Ch?fu,1995,198574.0
Ch?fu,2000,204759.0
Ch?fu,2005,216119.0
Ch?fu,2010,223593.0
Ch?fu,2015,229061.0
Fuch?,1995,216211.0
Fuch?,2000,226769.0
Fuch?,2005,245623.0
Fuch?,2010,255506.0
Fuch?,2015,260274.0
Fuji,1995,246985.0
Fuji,2000,251559.0
Fuji,2005,253297.0
Fuji,2010,254027.0
Fuji,2015,248399.0
Fujisawa,1995,368651.0
Fujisawa,2000,379185.0
Fujisawa,2005,396014.0
Fujisawa,2010,409657.0
Fujisawa,2015,423894.0
Fukui,1995,272970.0
Fukui,2000,269557.0
Fukui,2005,269144.0
Fukui,2010,266796.0
Fukui,2015,265904.0
Fukuoka,1995,1284836.0
Fukuoka,2000,1341470.0
Fukuoka,2005,1401279.0
Fukuoka,2010,1463743.0
Fukuoka,2015,1538681.0
Fukushima,1995,292696.0
Fukushima,2000,297894.0
Fukushima,2005,297357.0
Fukushima,2010,292590.0
Fukushima,2015,294247.0
Fukuyama,1995,453791.0
Fukuyama,2000,456908.0
Fukuyama,2005,459087.0
Fukuyama,2010,461357.0
Fukuyama,2015,464811.0
Funabashi,1995,540817.0
Funabashi,2000,550074.0
Funabashi,2005,569835.0
Funabashi,2010,609040.0
Funabashi,2015,622890.0
Gifu,1995,418574.0
Gifu,2000,415085.0
Gifu,2005,413367.0
Gifu,2010,413136.0
Gifu,2015,406735.0
Hachinohe,1995,249358.0
Hachinohe,2000,248608.0
Hachinohe,2005,244700.0
Hachinohe,2010,237615.0
Hachinohe,2015,231257.0
Hachi?ji,1995,503363.0
